index,time,runid,short_turned,hdw
2072,1970-01-01 21:36:00,R126,False,12.0
423,1970-01-01 21:48:00,R132,False,12.0
1194,1970-01-01 22:00:00,R219,False,12.0
2385,1970-01-01 22:15:00,R133,False,15.0
2414,1970-01-01 22:30:00,R220,False,15.0
1292,1970-01-01 22:45:00,R129,False,15.0
2129,1970-01-01 23:00:00,R226,False,15.0
1776,1970-01-01 23:15:00,R221,False,15.0
2176,1970-01-01 23:30:00,R227,False,15.0
322,1970-01-01 23:45:00,R223,False,15.0
365,1970-01-02 00:00:00,R228,False,15.0
2291,1970-01-02 00:20:00,R224,False,20.0
1851,1970-01-02 00:40:00,R229,False,20.0
821,1970-01-02 01:00:00,R225,False,20.0
148,1970-01-02 01:30:00,R130,False,30.0
235,1970-01-02 02:00:00,R131,False,30.0
1020,1970-01-02 02:30:00,R132,False,30.0
